Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0402_1005Metric,9.144,-18.796,90,top
C2,0.1uF,C_0402_1005Metric,7.62,-32.766,0,top
C3,0.1uF,C_0402_1005Metric,11.176,-18.542,0,top
C4,10nF,C_0402_1005Metric,4.572,-18.542,0,top
C5,1uF,C_0402_1005Metric,4.572,-17.272,0,top
C6,33pF,C_0402_1005Metric,7.089,-11.43,0,top
C7,33pF,C_0402_1005Metric,4.572,-11.43,0,top
C8,18pF,C_0402_1005Metric,12.192,-11.43,0,top
C9,18pF,C_0402_1005Metric,9.652,-11.43,0,top
C10,0.1uF,C_0402_1005Metric,7.112,-34.544,90,top
C11,0.1uF,C_0402_1005Metric,4.318,-45.743,90,top
D1,RED,LED_0805_2012Metric,6.604,-8.382,0,top
D2,BLUE,LED_0805_2012Metric,11.684,-8.382,0,top
R1,10K,R_0402_1005Metric,8.382,-34.544,90,top
R2,10K,R_0402_1005Metric,9.652,-32.766,0,top
R3,10K,R_0402_1005Metric,11.43,-33.528,90,top
R4,10K,R_0402_1005Metric,13.97,-45.72,90,top
R5,100,R_0402_1005Metric,4.318,-49.53,90,top
R6,510,R_0603_1608Metric,7.62,-4.826,0,top
R7,330,R_0603_1608Metric,12.954,-4.826,0,top
SW1,TS-1187A-C-C-B,SW_Push_PTS526,9.144,-40.132,0,top
SW2,TS-1187A-C-C-B,SW_Push_PTS526,9.144,-48.26,0,top
U1,STM32F030C8T6,LQFP-48_7x7mm_P0.5mm,9.144,-25.654,225,top
Y1,8MHz,Crystal_X50328MSB2GI,6.604,-14.224,0,top
Y2,32.768kHz,Crystal_Q13FC1350000400,11.176,-14.224,90,top
